bread crumbs,title,original_Price,discount_price,discount %,rating,colors,size,offers,seller,seller rating,service,description,product_images,product_details
Home>Footwear>Men's Footwear>Casual Shoes>HIGHLANDER Casual Shoes,Boots For Men,"2,098",839,60,,,"8,9,11","Flat ₹1,250 Off on HDFC Bank Credit Card EMI Trxns on orders priced between ₹15,000 to ₹39,999,Flat ₹3,000 Off on HDFC Bank Credit Card EMI Trxns on orders priced between ₹40,000 to ₹49,999,Flat ₹4,000 Off on HDFC Bank Credit Card EMI Trxns on orders of ₹50,000 and above",RetailNet,4.8,Cash on Delivery available,,"https://rukminim2.flixcart.com/image/128/128/xif0q/shoe/b/u/g/11-hl-wv-001416-highlander-black-original-imagp4hqczyz6zer.jpeg,https://rukminim2.flixcart.com/image/128/128/xif0q/shoe/6/b/z/11-hl-wv-001416-highlander-black-original-imagp4hqzq9qnbmk.jpeg,https://rukminim2.flixcart.com/image/128/128/xif0q/shoe/f/a/n/11-hl-wv-001416-highlander-black-original-imagp4hqysaykbhh.jpeg,https://rukminim2.flixcart.com/image/128/128/xif0q/shoe/h/l/g/11-hl-wv-001416-highlander-black-original-imagp4hqe4yex6fg.jpeg,https://rukminim2.flixcart.com/image/128/128/xif0q/shoe/6/t/h/11-hl-wv-001416-highlander-black-original-imagp4hqz6uzmfkc.jpeg,https://rukminim2.flixcart.com/image/128/128/xif0q/shoe/q/q/0/11-hl-wv-001416-highlander-black-original-imagp4hq96mtjhhx.jpeg","Color: Black,Outer material: Synthetic,Ideal for: Men,Occasion: Casual,Sole material: AIRMIX,Care instructions: Synthetic Wipe with a clean, dry cloth to remove dust"
Home>Footwear>Men's Footwear>Casual Shoes>Vaultex Casual Shoes,PVC Industrial Purpose Super Safety Lightweight Gum Boots Boots For Men,799,599,25,4.1,,"6,7,10,11","Flat ₹1,250 Off on HDFC Bank Credit Card EMI Trxns on orders priced between ₹15,000 to ₹39,999,Flat ₹3,000 Off on HDFC Bank Credit Card EMI Trxns on orders priced between ₹40,000 to ₹49,999,Flat ₹4,000 Off on HDFC Bank Credit Card EMI Trxns on orders of ₹50,000 and above",KewalsonStore,4.9,Cash on Delivery available,,"https://rukminim2.flixcart.com/image/128/128/xif0q/shoe/o/u/o/9-vl-size9-kw-vaultex-black-original-imaghg8y2kwnmvkz.jpeg,https://rukminim2.flixcart.com/image/128/128/xif0q/shoe/x/j/b/9-vl-size9-kw-vaultex-black-original-imaghg8ymrvr5vgu.jpeg,https://rukminim2.flixcart.com/image/128/128/xif0q/shoe/h/d/s/9-vl-size9-kw-vaultex-black-original-imaghg8ywyfhqknz.jpeg,https://rukminim2.flixcart.com/image/128/128/xif0q/shoe/u/p/4/9-vl-size9-kw-vaultex-black-original-imaghg8yteu5gn7r.jpeg,https://rukminim2.flixcart.com/image/128/128/xif0q/shoe/m/h/q/9-vl-size9-kw-vaultex-black-original-imaghg8yex5vgpwz.jpeg","Color: Black,Outer material: PVC,Model name: PVC Industrial Purpose Super Safety Lightweight Gum Boots,Ideal for: Men,Occasion: Casual,Sales package: 1 pair of gumboots,pack of: 1"
Home>Footwear>Men's Footwear>Casual Shoes>Sauran Casual Shoes,Boots For Men,"1,000",451,54,3.5,,"7,8,9,10","Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*,Purchase now & get 1 surprise cashback coupon in Future",SINAL,4.5,Cash on Delivery available,,"https://rukminim2.flixcart.com/image/128/128/keekmfk0-0/shoe/t/k/c/gum-boot-9-sauran-black-original-imafv3fpt2mzzxsu.jpeg,https://rukminim2.flixcart.com/image/128/128/kqqykcw0/safety-shoe/9/e/w/8-tc07hls0155-size-8-century-safety-gumboots-black-uk-size-8-original-imafv3fpghmhukq7.jpeg,https://rukminim2.flixcart.com/image/128/128/keekmfk0-0/shoe/c/7/2/gum-boot-9-sauran-black-original-imafv3fpheeznvwt.jpeg,https://rukminim2.flixcart.com/image/128/128/kfoapow0-0/shoe/0/6/q/gb-8-sauran-black-original-imafw2rddwaeavpu.jpeg,https://rukminim2.flixcart.com/image/128/128/kfoapow0-0/shoe/o/x/x/gb-8-sauran-black-original-imafw2rdhs7vjwgv.jpeg,https://rukminim2.flixcart.com/image/128/128/kfoapow0-0/shoe/e/b/l/gb-8-sauran-black-original-imafw2rdgd9qg2hz.jpeg,https://rukminim2.flixcart.com/image/128/128/xif0q/shopsy-shoe/p/t/f/10-boot-8-sauran-black-original-imagqf9yvxsvjy4z.jpeg","Color: Black,Outer material: Rubber,Ideal for: Men,Occasion: Casual,Season: EOSS-1-2023"
Home>Footwear>Men's Footwear>Casual Shoes>YUVRATO BAXI Casual Shoes,3 Inch Hidden Height Increasing Synthetic Material Tan Formal Slip-On Boots Boots For Men,"4,999","2,999",40,,"/yuvrato-baxi-3-inch-hidden-height-increasing-synthetic-material-black-formal-slip-on-boots-men/p/itm9cbd5c099e6d0?pid=SHOGRPV3KEJPNYU9&lid=LSTSHOGRPV3KEJPNYU9YZBMXC&marketplace=FLIPKART&sattr[]=color&st=color,/yuvrato-baxi-3-inch-hidden-height-increasing-synthetic-material-brown-formal-slip-on-boots-men/p/itma320ff3b68c34?pid=SHOGRQZ9RZAVK56E&lid=LSTSHOGRQZ9RZAVK56EBTOJOR&marketplace=FLIPKART&sattr[]=color&st=color","5,6,7,8,9,10","Flat ₹1,250 Off on HDFC Bank Credit Card EMI Trxns on orders priced between ₹15,000 to ₹39,999,Flat ₹3,000 Off on HDFC Bank Credit Card EMI Trxns on orders priced between ₹40,000 to ₹49,999,Flat ₹4,000 Off on HDFC Bank Credit Card EMI Trxns on orders of ₹50,000 and above",BAXXY,3.6,Cash on Delivery available,,"https://rukminim2.flixcart.com/image/128/128/xif0q/shoe/a/t/x/8-562n-8-yuvrato-baxi-tan-original-imagrpv2tsj7rs4h.jpeg,https://rukminim2.flixcart.com/image/128/128/kf4ajrk0-0/shoe/u/o/r/562-5-cenvo-tan-original-imafvn59a5xms8yp.jpeg,https://rukminim2.flixcart.com/image/128/128/l1jmc280/shoe/p/z/t/9-562-9-inlazer-tan-original-imagd342w2ru4sdf.jpeg,https://rukminim2.flixcart.com/image/128/128/km3s1ow0/shoe/n/a/t/7-562-7-rhythm-elite-designs-tan-original-imafafy28cuebwna.jpeg,https://rukminim2.flixcart.com/image/128/128/koad9jk0/shoe/o/y/f/7-562-bxxy-brown-original-imag2rtyhjrqyxdz.jpeg","Color: Tan,Inner material: Synthetic,Outer material: Synthetic,Model name: 3 Inch Hidden Height Increasing Synthetic Material Tan Formal Slip-On Boots,Ideal for: Men,Occasion: Casual,Type For Casual: Boots,Sole material: PU,Closure: Slip-On,Weight: 700 g (per single Shoe) - Weight of the product may vary depending on size.,Upper Pttern: Solid,pack of: 1"
